,ara,chon,fuc,lam,pul,xyl
substrate MW,9000,200000,150000,6000,70000,8000
dehydrated monomer MW,162,230.5,121.5,162,162,132
# cuts for: 10 kd,0.9,20,15,0.6,7,0.8
3-4 kd,2.571429,57.14285714,42.85714,1.714286,20,2.285714
glu,54.55556,866.6789588,1233.568,36.03704,431.0988,59.60606
tag,55.55556,867.6789588,1234.568,37.03704,432.0988,60.60606
